Date,Time,Location,City,Province,No of Strike,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F),Total Died Max,year,customDate
thursday- january 12- 2012,19:00,dogga village- datta khel tehsil- 45 km west of miranshah,north waziristan,fata,1,0,0,0,0,0,6,4,6.0,0,2,0,missiles were fired on vehicle,the strike came two days after a similar attack killed four militants in north waziristan,http://tribune.com.pk/story/320437/us-drone-strike-kills-four-militants-officials/  http://www.thenews.com.pk/todaysprintdetail.aspx?id=87944&cat=6&dt=1/17/2012  http://www.dawn.com/2012/01/12/us-drone-strike-kills-four-militants-officials.html,70.1455,32.9746,2.885,37.193,0,2012,2012-01-12
monday- january 23- 2012,,muhammad khel village,north waziristan,fata,1,0,0,0,2,0,0,0,2.0,0,0,0,,,http://www.thenews.com.pk/todaysprintdetail.aspx?id=11974&cat=13  http://tribune.com.pk/story/325870/four-killed-in-north-waziristan-drone-strike-2/,70.1455,32.9746,-3.435,25.817,0,2012,2012-01-23
monday- january 23- 2012,,deegan village,north waziristan,fata,1,0,0,2,3,0,0,2,3.0,0,0,0,,,http://www.thenews.com.pk/todaysprintdetail.aspx?id=11974&cat=13  http://tribune.com.pk/story/325870/four-killed-in-north-waziristan-drone-strike-2/,70.1455,32.9746,-3.435,25.817,0,2012,2012-01-23
wednesday- february 08- 2012,7:00,tappi- 10km southeast of miranshah,north waziristan,fata,1,0,0,0,10,0,0,0,10.0,0,0,0,trageted a house used by militants,, http://www.bbc.co.uk/urdu/pakistan/2012/02/120208_drone_attack_spilgah_zs.shtml  http://tribune.com.pk/story/333752/north-waziristan-us-drone-strike-kills-10/  http://www.geo.tv/geodetail.aspx?id=34414  ,70.1455,32.9746,-3.585,25.547,0,2012,2012-02-08
thursday- february 09- 2012,6:30,miranshah,north waziristan,fata,1,4,0,0,4,0,0,0,4.0,0,0,0,badar mansoor-al qaeda's chief was killed in misile attack,followed a drone attack earlier on feb9- 2012,http://tribune.com.pk/story/333840/drone-strike-kills-four-in-n-waziristan-officials/  http://www.bbc.co.uk/news/mobile/world-asia-16960948  http://www.dawn.com/2012/02/09/us-drone-strike-kills-four-in-pakistan-officials.html,70.1455,32.9746,-1.61,29.102,0,2012,2012-02-09
thursday- february 16- 2012,6:30,spagla town near miranshah,north waziristan,fata,1,0,0,0,5,0,0,0,5.0,0,0,0,several were wounded but exact number is not established,,http://www.bbc.co.uk/news/world-asia-17053995  http://tribune.com.pk/story/337310/us-drone-strike-kills-five-militants-in-pakistan-officials/  http://www.dawn.com/2012/02/16/eight-foreigners-killed-in-second-north-waziristan-drone-strike.html,70.1455,32.9746,-1.67,28.994,0,2012,2012-02-16
thursday- february 16- 2012,6:45,spagla town near miranshah,north waziristan,fata,1,0,0,4,7,0,8,12,15.0,0,0,0,several were wounded but exact number is not established,,http://www.bbc.co.uk/news/world-asia-17053995  http://tribune.com.pk/story/337310/us-drone-strike-kills-five-militants-in-pakistan-officials/  http://www.dawn.com/2012/02/16/eight-foreigners-killed-in-second-north-waziristan-drone-strike.html,70.1455,32.9746,-1.67,28.994,0,2012,2012-02-16
tuesday- march 13- 2012,7:15,birmal area of south waziristan,south waziristan,fata,1,0,8,0,0,0,0,7,8.0,0,2,0,two important commanders of mullah nazir group died in attack,, http://www.dawn.com/2012/03/14/us-drones-kill-14.html  http://tribune.com.pk/story/349405/drone-strike-kills-5-in-north-waziristan-2/  http://www.thenewstribe.com/2012/03/13/us-drones-kill-15-in-pakistans-tribal-region/#.t2lxbdk78vu,69.9,33.0333,3.66,38.588,0,2012,2012-03-13
tuesday- march 13- 2012,,surra khawra area of shawal south waziristan,south waziristan,fata,1,0,7,0,0,0,0,0,0.0,0,0,0,took place when pakistani foreign minister was addressing about drones,, http://www.dawn.com/2012/03/14/us-drones-kill-14.html  http://tribune.com.pk/story/349405/drone-strike-kills-5-in-north-waziristan-2/  http://www.thenewstribe.com/2012/03/13/us-drones-kill-15-in-pakistans-tribal-region/#.t2lxbdk78vu,69.9,33.0333,3.66,38.588,0,2012,2012-03-13
friday- march 09- 2012,,mandao area on the boarder od north and south waziristan,south waziristan,fata,3,1,12,0,0,0,0,8,13.0,0,0,0,one leader of alqaeeda died,,http://tribune.com.pk/story/347707/drone-strike-kills-4-2/  http://www.bbc.co.uk/news/world-asia-17312913  http://www.dawn.com/2012/03/09/us-drone-attacks-kill-13-in-south-waziristan.html,69.9,33.0333,4.17,39.506,0,2012,2012-03-09
friday- march 30- 2012,3:00,market in miranshah north waziristan,north waziristan,fata,3,0,0,0,4,0,0,0,4.0,0,2,0,2 drones were fired,,http://tribune.com.pk/story/357721/north-waziristan-us-drone-strike-kills-4-militants/  http://www.thenews.com.pk/todays-news-13-13555-us-drone-strike-kills-four-in-nwa   http://www.dawn.com/2012/03/31/us-drone-kills-4-in-waziristan.html,70.1455,32.9746,18.035,64.463,0,2012,2012-03-30
sunday- april 29- 2012,,miranshah,north waziristan,fata,1,0,0,0,0,3,4,3,4.0,2,3,0,2 drones fired on an abandoned school- used by suspected militants,first drone strike in almost a month,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101510840&issue=np_lhe&date=20120430  http://www.dailytimes.com.pk/default.asp?page=2012\04\30\story_30-4-2012_pg7_2  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/30-apr-2012/drone-attack-follows-failed-pak-us-talks,70.1455,32.9746,14.565,58.217,0,2012,2012-04-29
saturday- may 05- 2012,,shawal area- 70km west of miranshah,north waziristan,fata,1,0,0,0,0,0,10,0,10.0,0,8,1,2 drones fired at a compound ,,http://www.dailytimes.com.pk/default.asp?page=2012\05\06\story_6-5-2012_pg1_4  http://tribune.com.pk/story/374723/the-drone-war-islamabad-fumes-as-drones-continue-to-hit-targets/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101515378&issue=np_lhe&date=20120506,70.1455,32.9746,18.455,65.219,0,2012,2012-05-05
wednesday- may 23- 2012,,miranshah,north waziristan,fata,2,0,0,4,5,0,0,4,5.0,0,0,0,two missiles were fired on a house,first u.s. drone attack following the chicago summit,http://tribune.com.pk/story/383481/us-drones-kill-four-militants-in-miramshah/  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/23-may-2012/five-people-killed-in-us-drone-strike-in-north-waziristan  http://www.nawaiwaqt.com.pk/e-paper/lahore/2012-05-24/page-1/detail-4,70.1455,32.9746,19.69,67.442,0,2012,2012-05-23
thursday- may 24- 2012,5:30,mir ali,north waziristan,fata,1,0,0,2,10,4,8,2,10.0,0,0,0,,,http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/25-may-2012/us-drone-strike-hits-mosque-10-killed  http://tribune.com.pk/story/383552/us-drone-strike-kills-10-in-northwest-pakistan/http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101530586&issue=np_lhe&date=20120525  ,70.1455,32.9746,20.055,68.099,0,2012,2012-05-24
saturday- may 26- 2012,4:00,miranshah,north waziristan,fata,2,0,0,1,4,2,3,3,4.0,0,0,0,two missiles fired on a house,,http://tribune.com.pk/story/384804/despite-sovereignty-mantra-four-militants-killed-in-north-waziristan-drone-strike/  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/26-may-2012/four-people-killed-in-us-drone-strike-in-north-waziristan  http://www.dailytimes.com.pk/default.asp?page=2012\05\27\story_27-5-2012_pg7_7  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101532153&issue=np_lhe&date=20120527,70.1455,32.9746,17.54,63.572,0,2012,2012-05-26
monday- may 28- 2012,9:00,hassokhel town- 25km east of miranshah,north waziristan,fata,1,0,0,5,8,0,0,5,8.0,0,0,0,trageted a militant compound,,http://dawn.com/2012/05/28/us-drone-strike-kills-3-militants-in-north-waziristan-officials/  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/29-may-2012/us-drone-strike-kills-4-in-nwa  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101533824&issue=np_lhe&date=20120529  http://www.dailytimes.com.pk/default.asp?page=2012\05\29\story_29-5-2012_pg7_4,70.1455,32.9746,22.44,72.392,0,2012,2012-05-28
monday- may 28- 2012,,datta khel district- 30km west of miranshah,north waziristan,fata,2,0,0,3,4,0,0,3,4.0,0,0,0,two missiles were fired on a militant vehicle ,,http://dawn.com/2012/05/28/us-drone-strike-kills-3-militants-in-north-waziristan-officials/  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/29-may-2012/us-drone-strike-kills-4-in-nwa  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101533824&issue=np_lhe&date=20120529  http://www.dailytimes.com.pk/default.asp?page=2012\05\29\story_29-5-2012_pg7_4,70.1455,32.9746,22.44,72.392,0,2012,2012-05-28
saturday- june 02- 2012,8:30,khawashikhel village- 5km west of wana,south waziristan,fata,1,0,3,0,0,0,0,2,3.0,0,0,0,rahmanullah gangi khail- brother of muhammad wali- commander of mullah nazir group- died,,http://tribune.com.pk/story/388037/drone-strike-militant-chiefs-brother-associate-killed-in-wana/  http://www.dailytimes.com.pk/default.asp?page=2012\06\03\story_3-6-2012_pg7_4http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101537662&issue=np_lhe&date=20120603  ,69.9,33.0333,23.49,74.282,0,2012,2012-06-02
sunday- june 03- 2012,,wacha dana- 10km west of wana,south waziristan,fata,1,0,11,0,0,0,0,6,11.0,0,2,0,commander malang jan and ghulam khan of mullah nazir group died,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101538566&issue=np_lhe&date=20120604  http://tribune.com.pk/story/388125/us-drones-kill-five-militants-in-south-waziristan-officials/http://www.dailytimes.com.pk/default.asp?page=2012\06\04\story_4-6-2012_pg1_6  ,69.9,33.0333,23.795,74.831,0,2012,2012-06-03
monday- june 04- 2012,3:30,heshokhel village- 3km east of mirali,north waziristan,fata,1,1,0,0,14,0,0,0,15.0,0,5,0,al-qaeda's second-in-command abu yahya al-libi was the target - death confirmed,,http://www.bbc.co.uk/news/world-asia-18327634  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101539372&issue=np_lhe&date=20120605  http://tribune.com.pk/story/388902/deadliest-attack-us-drone-strike-kills-15-in-north-waziristan/  http://dawn.com/2012/06/05/15-killed-in-us-drone-attack/  http://www.bbc.co.uk/news/world-asia-18334377,70.1455,32.9746,24.5,76.1,0,2012,2012-06-04
wednesday- june 13- 2012,,isha village- 10km east of miranshah,north waziristan,fata,1,0,0,3,4,0,0,3,4.0,0,0,0,drone targeted a vehicle,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101546653&issue=np_lhe&date=20120614  http://www.dailytimes.com.pk/default.asp?page=2012\06\14\story_14-6-2012_pg7_26  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/13-jun-2012/us-drone-strike-kills-three-militants-in-nwaziristan-officials,70.1455,32.9746,20.78,69.404,0,2012,2012-06-13
thursday- june 14- 2012,3:15,miranshah bazaar,north waziristan,fata,2,0,0,2,4,0,0,2,4.0,0,2,0,two missiles fired on a building,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101547243&issue=np_lhe&date=20120615  http://www.dailytimes.com.pk/default.asp?page=2012\06\15\story_15-6-2012_pg7_5  http://tribune.com.pk/story/393523/us-drone-kills-three-militants-in-pakistan-officials/  http://www.thenews.com.pk/todays-news-13-15376-two-killed-in-nwa-drone-attack,70.1455,32.9746,22.495,72.491,0,2012,2012-06-14
tuesday- june 26- 2012,2:00,shawal area- 50km southwest of miranshah,north waziristan,fata,1,0,5,0,0,0,0,0,5.0,0,3,0,those killed were fighters linked with local warlord hafiz gul bahadur,hafiz gul bahadur- allied with afghan taliban,http://www.dailytimes.com.pk/default.asp?page=2012\06\27\story_27-6-2012_pg7_10  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101557052&issue=np_lhe&date=20120627  http://dawn.com/2012/06/26/us-drone-strike-kills-at-least-five-in-north-waziristan/,70.1455,32.9746,23.33,73.994,0,2012,2012-06-26
sunday- july 01- 2012,,shawal district- 50km southwest of miranshah,north waziristan,fata,1,0,8,0,0,0,0,0,8.0,0,0,0,the attack killed fighters loyal to militant commander hafiz gul bahadur,,dawn news 01-jul-2012/pbc-dwn-01-jul-2012   daily jang 01-jul-2012/pbc-djn-01-jul-2012  http://dawn.com/2012/07/01/us-drone-strike-kills-six-militants-in-pakistan-officials/,70.1455,32.9746,25.605,78.089,0,2012,2012-07-01
friday- july 06- 2012,20:45,zoi nari- tehsil dattakhel,north waziristan,fata,6,0,0,4,17,0,0,4,17.0,2,3,0,six missiles hit a house,,http://dunyanews.tv/index.php?key=q2f0suq9minoawq9odg3mde=  http://dawn.com/2012/07/07/twenty-die-in-double-drone-attack/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101564689&issue=np_lhe&date=20120707,70.1455,32.9746,27.415,81.347,0,2012,2012-07-06
friday- july 06- 2012,22:30,zoi nari- tehsil dattakhel,north waziristan,fata,1,0,0,3,18,0,0,3,18.0,0,2,0,,,http://dunyanews.tv/index.php?key=q2f0suq9minoawq9odg3mde=  http://dawn.com/2012/07/07/twenty-die-in-double-drone-attack/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101564689&issue=np_lhe&date=20120707,70.1455,32.9746,27.415,81.347,0,2012,2012-07-06
monday- july 23- 2012,23:00,dray nashtar village- 65km west of miranshah,north waziristan,fata,8,0,0,10,12,0,0,10,12.0,0,0,0,six to eight missiles were fired at a compound,,dawn news 24-jul-2012/pbc-dwn-24-jul-2012  express tribune 24-jul-2012/pbc-ext-24-jul-2012  http://www.dailytimes.com.pk/default.asp?page=2012\07\24\story_24-7-2012_pg7_5  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101578666&issue=np_lhe&date=20120724  ,70.1455,32.9746,26.555,79.799,0,2012,2012-07-23
sunday- july 29- 2012,18:30,khushali turkhel village- 35km east of miranshah,north waziristan,fata,6,0,0,0,0,0,7,0,7.0,0,0,0,six missiles hit a compound,killed included uzbek militants,express tribune 30-jul-2012/pbc-ext-30-jul-2012  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101583492&issue=np_lhe&date=20120730  http://dawn.com/2012/07/30/drone-attack-kills-seven-uzbeks/,70.1455,32.9746,25.67,78.206,0,2012,2012-07-29
saturday- august 18- 2012,13:30,shuwedar village,north waziristan,fata,2,0,6,0,6,0,0,6,12.0,0,3,0,two missiles fired targetting a house and a vehicle,,http://tribune.com.pk/story/424067/targeted-attack-6-killed-in-waziristan-drone-strike/  http://www.dailytimes.com.pk/default.asp?page=2012\08\19\story_19-8-2012_pg7_4http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101599031&issue=np_lhe&date=20120819  ,70.1455,32.9746,25.4,77.72,0,2012,2012-08-18
sunday- august 19- 2012,6:45,mana- shawal area,north waziristan,fata,1,0,0,4,7,0,0,4,7.0,0,4,0,two vehicles were targeted,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101599907&issue=np_lhe&date=20120820  http://www.thenews.com.pk/article-63983-us-drone-kills-four-in-north-waziristan  http://www.washingtontimes.com/news/2012/aug/19/us-drones-kill-10-militants-northwest-pakistan/,70.1455,32.9746,25.585,78.053,0,2012,2012-08-19
sunday- august 19- 2012,,mana- shawal area,north waziristan,fata,1,0,0,0,3,0,0,0,3.0,0,0,0,targeted a compound,second attack on same day- only with difference of few hours,http://www.thenews.com.pk/article-64019-seven-killed-in-two-drone-strikes-in-nwa  http://www.washingtontimes.com/news/2012/aug/19/us-drones-kill-10-militants-northwest-pakistan/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101599907&issue=np_lhe&date=20120820,70.1455,32.9746,25.585,78.053,0,2012,2012-08-19
tuesday- august 21- 2012,,shna khora- 5km west of miranshah,north waziristan,fata,1,0,0,3,6,0,0,3,6.0,3,4,0,drone fired fours missiles on a vehicle,,http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/22-aug-2012/at-least-3-people-killed-in-us-drone-strike-in-north-waziristan  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101600816&issue=np_lhe&date=20120823  http://dawn.com/2012/08/23/drone-attack-kills-6-reports-about-operation-grip-n-waziristan/,70.1455,32.9746,26.385,79.493,0,2012,2012-08-21
friday- august 24- 2012,,makki gharr- shawal area,north waziristan,fata,1,0,6,0,0,0,0,5,6.0,0,0,0,almost 10 missiles were targeted on compounds in different areas of n.w.,targetted people belong to hafiz gul bahadur group ,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101602785&issue=np_lhe&date=20120825  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/25-aug-2012/on-heels-of-demarche-drones-kill-18-in-nwa,70.1455,32.9746,24.815,76.667,0,2012,2012-08-24
friday- august 24- 2012,,tonda darra- shawal area,north waziristan,fata,1,0,6,0,0,0,0,4,6.0,0,0,0,almost 10 missiles were targeted on compounds in different areas of n.w.,targetted people belong to hafiz gul bahadur group ,,70.1455,32.9746,24.815,76.667,0,2012,2012-08-24
friday- august 24- 2012,,darra nishtar- shawal area,north waziristan,fata,1,0,8,0,0,0,0,5,8.0,0,14,0,almost 10 missiles were targeted on compounds in different areas of n.w.,targetted people belong to hafiz gul bahadur group ,,70.1455,32.9746,24.815,76.667,0,2012,2012-08-24
saturday- september 01- 2012,9:00,degan area- datta khel,north waziristan,fata,4,0,0,4,6,0,0,4,6.0,0,2,0,four missiles targeted a compound and a vehicle,,http://tribune.com.pk/story/430045/n-waziristan-attack-six-militants-die-in-latest-drone-strike/  http://www.dailytimes.com.pk/default.asp?page=2012\09\02\story_2-9-2012_pg1_3  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101609360&issue=np_lhe&date=20120902  http://dawn.com/2012/09/01/three-killed-in-drone-attack-in-north-waziristan/,70.1455,32.9746,24.26,75.668,0,2012,2012-09-01
saturday- september 22- 2012,,datta khel,north waziristan,fata,1,0,0,3,4,0,0,3,4.0,0,2,0,missiles targeted a moving vehicle,,http://tribune.com.pk/story/441109/drone-strike-3-militants-killed-in-north-waziristan/  http://www.dailytimes.com.pk/default.asp?page=2012\09\23\story_23-9-2012_pg1_3  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101626580&issue=np_lhe&date=20120923,70.1455,32.9746,18.245,64.841,0,2012,2012-09-22
monday- september 24- 2012,,kaderkhail village- 40km east of miranshah,north waziristan,fata,2,0,0,5,6,0,0,5,6.0,0,0,0,two missiles fired on a compound,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101628242&issue=np_lhe&date=20120925  http://www.dailytimes.com.pk/default.asp?page=2012\09\25\story_25-9-2012_pg7_2  http://tribune.com.pk/story/441970/us-drone-kills-five-militants-officials/,70.1455,32.9746,19.07,66.326,0,2012,2012-09-24
monday- october 01- 2012,,khaiderkhel area- 30 km east of miranshah,north waziristan,fata,4,0,0,0,3,0,0,0,3.0,0,0,0,4 missiles were fired on a vehicle,,http://tribune.com.pk/story/445548/north-waziristan-us-drone-strike-kills-three-militants/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101633798&issue=np_lhe&date=20121002  http://www.dailytimes.com.pk/default.asp?page=2012\10\02\story_2-10-2012_pg7_4,70.1455,32.9746,18.645,65.561,0,2012,2012-10-01
wednesday- october 10- 2012,4:00,hurmaz village of mir ali tehsil,north waziristan,fata,4,0,0,0,5,0,0,0,5.0,0,0,0,4 missiles were fired on a compound,frist drone attack following massive anti-drone rally of pti,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101641510&issue=np_lhe&date=20121011  http://www.dailytimes.com.pk/default.asp?page=2012\10\11\story_11-10-2012_pg7_4  http://tribune.com.pk/story/449904/drones-kill-five-militants-in-north-waziristan/,70.1455,32.9746,15.345,59.621,0,2012,2012-10-10
thursday- october 11- 2012,16:40,bulandkhel area- orakzai,north waziristan,fata,4,0,0,17,18,0,0,17,18.0,15,20,0,4 missiles were fired on a compound,compound was owned by mulana shakirullah- the commander of taliban's hafiz gul bahadur group,http://www.dailytimes.com.pk/default.asp?page=2012\10\12\story_12-10-2012_pg1_4  http://dawn.com/2012/10/12/18-militants-killed-in-orakzai-drone-attack/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101642358&issue=np_lhe&date=20121012  http://tribune.com.pk/story/450500/spreading-campaign-17-killed-as-drone-targets-orakzai/,70.1455,32.9746,15.905,60.629,0,2012,2012-10-11
wednesday- october 24- 2012,,tappi area- 20 km east of miranshah,north waziristan,fata,2,0,0,3,5,0,0,3,5.0,0,0,1,two missiles fired on a compound and a car,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101653149&issue=np_lhe&date=20121025  http://tribune.com.pk/story/456599/drone-strike-kills-five-in-north-waziristan/  http://www.dailytimes.com.pk/default.asp?page=2012\10\25\story_25-10-2012_pg1_4,70.1455,32.9746,11.365,52.457,0,2012,2012-10-24
thursday- november 29- 2012,12:00,sheen warak area- wana,north waziristan,fata,1,0,0,2,4,0,0,2,4.0,0,4,0,drone targeted a vehicle,,http://tribune.com.pk/story/473116/south-waziristan-drone-strike-kills-two/  http://www.thenews.com.pk/todays-news-13-19171-three-killed-in-swa-drone-attack  http://www.dailytimes.com.pk/default.asp?page=2012\11\30\story_30-11-2012_pg7_12,70.1455,32.9746,5.07,41.126,0,2012,2012-11-29
saturday- december 01- 2012,,sheen warsask area,south waziristan,fata,3,0,0,0,3,0,1,0,4.0,0,3,0,3 missiles were fired on a car,drone targeted abdur rehman al-yamni- key commander of al-qaeda linked taliban group,http://tribune.com.pk/story/473991/south-waziristan-drone-strike-kills-suspected-militant/  http://www.thenews.com.pk/todays-news-13-19200-al-qaeda-leader-among-four-killed-in-swa-drone-attack  http://www.dailytimes.com.pk/default.asp?page=2012\12\02\story_2-12-2012_pg1_4  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101684593&issue=np_lhe&date=20121202,69.9,33.0333,5.28,41.504,0,2012,2012-12-01
thursday- december 06- 2012,7:45,mubarak shah village- mir ali,north waziristan,fata,2,0,0,3,4,0,0,3,4.0,0,0,0,2 missiles were fired on a compound,,http://tribune.com.pk/story/475941/us-drone-strike-kills-4-in-north-waziristan-2/  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/06-dec-2012/three-killed-in-north-waziristan-drone-strike  http://www.dailytimes.com.pk/default.asp?page=2012\12\07\story_7-12-2012_pg1_4,70.1455,32.9746,8.69,47.642,0,2012,2012-12-06
sunday- december 09- 2012,,tabbi village- miranshah,north waziristan,fata,4,1,0,0,3,0,0,1,4.0,0,6,0,4 missiles were fired on a house,senior al-qaeda commander muhammad ahmed al-mansoor was among the dead,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101691585&issue=np_lhe&date=20121210  http://tribune.com.pk/story/477573/unmanned-war-us-drone-kills-another-al-qaeda-leader/  http://www.dailytimes.com.pk/default.asp?page=2012\12\10\story_10-12-2012_pg1_2  http://www.thenews.com.pk/todays-news-13-19373-al-qaeda-leader-among-four-killed-in-drone-strike,70.1455,32.9746,6.555,43.799,0,2012,2012-12-09
friday- december 21- 2012,12:15,hisukhel area of mir ali,north waziristan,fata,2,0,0,3,4,0,0,3,4.0,0,0,0,2 missiles were fired on a house,,http://dawn.com/2012/12/21/drone-attack-leaves-three-dead-in-north-waziristan/  http://tribune.com.pk/story/482501/us-drone-strike-kills-3-in-north-waziristan/  http://www.dailytimes.com.pk/default.asp?page=2012\12\22\story_22-12-2012_pg7_10,70.1455,32.9746,3.705,38.669,0,2012,2012-12-21
friday- december 28- 2012,,gurbuz- 65km west of miranshah,north waziristan,fata,8,0,0,4,7,0,0,4,7.0,0,2,0,eight missiles were fired on a compound,,http://www.dailytimes.com.pk/default.asp?page=2012\12\29\story_29-12-2012_pg1_5 http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101708755&issue=np_lhe&date=20121229  ,70.1455,32.9746,-3.165,26.303,0,2012,2012-12-28
wednesday- january 02- 2013,22:00,sara kanda area of birmal tehsil,south waziristan,fata,1,0,17,0,0,0,0,7,17.0,0,0,0,taliban warlord maulvi nazir wazir was targetted and killed,2 missiles were fired on a vehicle,http://tribune.com.pk/story/488854/taliban-warlord-mullah-nazir-killed-in-us-drone-strike/  http://www.dailytimes.com.pk/default.asp?page=2013\01\04\story_4-1-2013_pg1_4  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101714645&issue=np_lhe&date=20130104,69.9,33.0333,0.875,33.575,0,2013,2013-01-02
sunday- january 06- 2013,,babar ghar village,south waziristan,fata,1,0,17,0,0,0,0,10,17.0,0,7,0,members of ttp and punjabi taliban group were killed,10 missiles were fired on 2 compounds,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101717934&issue=np_lhe&date=20130107  http://www.dailytimes.com.pk/default.asp?page=2013\01\07\story_7-1-2013_pg1_1  http://tribune.com.pk/story/489837/drone-attack-in-south-waziristan-kills-at-least-10-intelligence-sources/,69.9,33.0333,-0.76,30.632,0,2013,2013-01-06
tuesday- january 08- 2013,,haider khel village- 25km east of miranshah,north waziristan,fata,8,0,0,4,8,0,0,4,8.0,1,4,0,eight missiles were fired on a compound,,http://www.dailytimes.com.pk/default.asp?page=2013\01\08\story_8-1-2013_pg7_8  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101718898&issue=np_lhe&date=20130108  http://tribune.com.pk/story/491370/upsurge-in-attacks-us-drone-kills-12-militants-in-north-waziristan/,70.1455,32.9746,0.57,33.026,0,2013,2013-01-08
tuesday- january 08- 2013,,haso khel village,north waziristan,fata,4,0,0,3,4,0,0,3,4.0,1,4,0,four missiles were fired on a compound,,http://www.dailytimes.com.pk/default.asp?page=2013\01\08\story_8-1-2013_pg7_8  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101718898&issue=np_lhe&date=20130108  http://tribune.com.pk/story/491370/upsurge-in-attacks-us-drone-kills-12-militants-in-north-waziristan/,70.1455,32.9746,0.57,33.026,0,2013,2013-01-08
thursday- january 10- 2013,,heso khel village- 35km east of miranshah,north waziristan,fata,4,0,0,4,6,0,0,4,6.0,0,0,0,four missiles were fired on a house and two missiles were fired on a motorbike,,http://www.dailytimes.com.pk/default.asp?page=2013\01\11\story_11-1-2013_pg7_2  http://tribune.com.pk/story/492410/drone-attack-strike-kills-four-militants-in-north-waziristan/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101721792&issue=np_lhe&date=20130111,70.1455,32.9746,4.315,39.767,0,2013,2013-01-10
wednesday- february 06- 2013,,ghulam khan tehsil,north waziristan,fata,4,0,0,3,5,0,0,3,5.0,0,0,0,"four missiles were fired- witnesses say ""the bodies could not be identified""",,http://epaper.dawn.com/detailnews.php?storytext=07_02_2013_003_010  http://www.dailytimes.com.pk/default.asp?page=2013\02\07\story_7-2-2013_pg1_8,70.1455,32.9746,2.08,35.744,0,2013,2013-02-06
friday- february 08- 2013,,bobar gar area- 50km south of miranshah,north waziristan,fata,2,2,9,0,0,2,2,7,9.0,2,6,0,two missiles were fired on a compound owned by local ttp commander ali mehsud,according to intelligence sources- drones killed abu majid al-iraqi and shiekh waqas al-yamoni,http://www.thenews.com.pk/todays-news-2-162986-only-two-drone-strikes-that-killed-nine-recorded-in-february  http://www.dailytimes.com.pk/default.asp?page=2013\02\09\story_9-2-2013_pg7_3,70.1455,32.9746,4.005,39.209,0,2013,2013-02-08
